uid,d,t,x,y
0,4,31,163,61
0,4,34,163,61
0,4,35,163,60
0,4,36,163,61
0,4,37,163,61
0,4,38,163,60
0,4,39,163,61
0,4,40,163,60
0,4,41,135,77
0,4,42,134,77
0,4,43,134,77
0,4,44,135,77
0,5,12,135,87
0,5,13,138,87
0,5,18,138,88
0,5,20,158,60
0,5,21,162,61
0,5,22,163,60
0,5,23,163,61
0,5,24,163,60
0,5,28,163,61
0,5,30,163,61
0,5,33,163,60
0,5,34,163,61
0,5,35,163,61
0,5,36,163,60
0,5,38,163,60
0,5,39,163,61
0,5,40,163,61
0,5,41,137,75
0,5,42,135,76
0,5,43,135,77
0,5,44,135,77
0,6,1,135,77
0,6,9,135,77
0,6,12,131,78
0,6,15,135,87
0,6,16,130,82
0,6,17,65,76
0,6,18,55,73
0,6,19,55,75
0,6,20,53,73
0,6,21,52,73
0,6,22,55,75
0,6,23,53,73
0,6,24,52,73
0,6,26,52,74
0,6,27,54,73
0,6,28,55,73
0,6,29,66,79
0,6,30,128,82
0,6,32,157,60
0,6,33,163,60
0,6,34,163,60
0,6,35,163,60
0,6,36,163,61
0,6,37,163,61
0,6,39,163,61
0,6,40,163,61
0,6,41,163,60
0,6,42,163,60
0,6,43,163,61
0,6,44,163,61
0,6,45,163,61
0,6,46,163,61
0,6,47,163,61
0,7,0,163,61
0,7,1,163,61
0,7,2,163,61
0,7,3,163,61
0,7,5,163,61
0,7,6,163,61
0,7,7,163,61
0,7,9,163,61
0,7,10,163,61
0,7,11,163,61
0,7,12,163,61
0,7,13,163,60
0,7,14,163,61
0,7,15,163,60
0,7,16,163,60
0,7,17,163,60
0,7,18,163,60
0,7,19,163,61
0,7,20,163,61
0,7,21,163,61
0,7,23,163,60
0,7,24,163,60
0,7,25,163,60
0,7,26,163,61
0,7,27,163,60
0,7,28,163,60
0,7,29,163,61
0,7,30,163,61
0,7,31,163,61
0,7,32,163,60
0,7,33,163,61
0,7,34,163,60
0,7,35,163,61
0,7,36,163,61
0,7,37,163,62
0,7,38,163,61
0,7,39,163,61
0,7,40,163,60
0,7,41,163,60
0,7,42,163,61
0,7,44,163,61
0,7,45,163,60
0,7,47,163,61
0,8,1,163,62
0,8,2,163,61
0,8,3,163,61
0,8,4,163,60
0,8,5,163,61
0,8,6,163,60
0,8,7,163,61
0,8,8,163,61
0,8,9,163,60
0,8,11,163,60
0,8,12,163,60
0,8,13,163,61
0,8,14,163,60
0,8,15,163,61
0,8,16,163,60
0,8,17,163,60
0,8,18,163,61
0,8,19,163,60
0,8,20,163,61
0,8,21,163,61
0,8,22,163,60
0,8,23,163,60
0,8,24,163,60
0,8,25,163,61
0,8,26,163,61
0,8,27,163,60
0,8,28,163,61
0,8,29,163,60
0,8,31,163,61
0,8,32,163,60
0,8,33,161,59
0,8,34,160,58
0,8,35,160,56
0,8,36,161,58
0,8,37,161,60
0,8,38,163,60
0,8,39,163,61
0,8,40,163,61
0,8,41,163,60
0,8,42,163,61
0,8,43,163,61
0,8,44,163,61
0,8,45,163,60
0,8,46,163,61
0,8,47,163,60
0,9,0,163,61
0,9,2,163,60
0,9,3,163,61
0,9,5,163,61
0,9,8,163,61
0,9,9,163,61
0,9,11,163,61
0,9,12,163,61
0,9,13,164,60
0,9,14,163,60
0,9,15,163,61
0,9,17,163,61
0,9,18,163,61
0,9,19,163,61
0,9,20,163,59
0,9,21,160,57
0,9,22,160,59
0,9,23,160,59
0,9,24,160,57
0,9,25,160,57
0,9,26,160,58
0,9,27,161,58
0,9,28,163,60
0,9,30,163,61
0,9,31,163,60
0,9,32,163,61
0,9,33,163,60
0,9,34,163,60
0,9,35,163,60
0,9,36,163,61
0,9,38,163,61
0,9,39,163,61
0,9,40,163,61
0,9,41,139,74
0,9,42,134,77
0,9,43,135,77
0,9,44,134,77
0,9,45,135,77
0,9,46,134,77
0,10,3,134,77
0,10,4,135,77
0,10,5,134,77
0,10,6,135,77
0,10,7,135,77
0,10,9,134,77
0,10,10,135,77
0,10,11,135,77
0,10,12,135,77
0,10,13,138,88
0,10,15,138,87
0,10,17,139,87
0,10,18,130,81
0,10,19,130,81
0,10,20,130,80
0,10,21,161,60
0,10,22,163,61
0,10,23,163,61
0,10,24,163,60
0,10,27,163,61
0,10,28,163,61
0,10,29,163,61
0,10,30,163,61
0,10,32,163,60
0,10,33,163,60
0,10,34,163,60
0,10,35,163,61
0,10,36,163,61
0,10,37,163,60
0,10,38,163,61
0,10,39,163,60
0,10,40,144,66
0,10,41,141,69
0,10,42,135,77
0,10,43,135,77
0,10,44,135,77
0,10,45,135,77
0,11,3,135,77
0,11,4,134,77
0,11,5,134,77
0,11,7,135,77
0,11,9,134,77
0,11,10,134,77
0,11,11,135,77
0,11,12,135,77
0,11,13,134,77
0,11,14,135,77
0,11,15,135,77
0,11,16,134,77
0,11,17,161,60
0,11,18,161,59
0,11,19,160,56
0,11,20,160,57
0,11,21,160,56
0,11,22,160,57
0,11,23,163,60
0,11,24,163,61
0,11,25,163,60
0,11,26,163,61
0,11,27,163,61
0,11,32,163,61
0,11,33,163,60
0,11,34,163,61
0,11,36,163,60
0,11,37,163,61
0,11,38,163,61
0,11,40,162,60
0,11,41,157,59
0,11,42,134,77
0,11,43,134,77
0,11,44,135,77
0,11,45,135,76
0,11,47,135,77
0,12,0,134,77
0,12,2,135,78
0,12,4,135,77
0,12,5,135,77
0,12,7,134,77
0,12,8,135,77
0,12,9,135,77
0,12,10,134,77
0,12,11,135,77
0,12,12,135,77
0,12,13,135,87
0,12,16,138,88
0,12,17,130,80
0,12,18,124,78
0,12,19,127,79
0,12,22,132,82
0,12,23,133,78
0,12,24,163,61
0,12,25,163,60
0,12,26,163,61
0,12,27,163,61
0,12,28,163,61
0,12,29,163,61
0,12,30,163,60
0,12,31,163,61
0,12,32,163,61
0,12,34,163,61
0,12,35,163,61
0,12,36,163,61
0,12,37,163,61
0,12,38,163,61
0,12,39,163,61
0,12,40,163,61
0,12,41,137,75
0,12,42,135,77
0,12,44,135,77
0,12,45,135,77
0,12,46,135,77
0,12,47,135,77
0,13,2,135,77
0,13,3,135,77
0,13,4,134,77
0,13,5,135,77
0,13,6,134,77
0,13,7,135,77
0,13,8,135,77
0,13,9,134,77
0,13,10,135,77
0,13,11,135,77
0,13,12,135,75
0,13,13,134,88
0,13,14,135,88
0,13,16,135,81
0,13,17,134,82
0,13,32,135,82
0,13,33,134,82
0,13,34,140,69
0,13,35,162,61
0,13,36,163,61
0,13,37,163,61
0,13,38,163,61
0,13,39,163,60
0,13,42,163,61
0,13,43,163,61
0,13,44,163,61
0,13,45,163,60
0,13,46,163,61
0,13,47,163,61
0,14,1,163,61
0,14,2,163,60
0,14,3,163,61
0,14,7,163,61
0,14,8,163,61
0,14,9,163,61
0,14,10,163,60
0,14,11,163,60
0,14,12,163,61
0,14,13,163,61
0,14,14,163,60
0,14,15,163,61
0,14,16,163,61
0,14,17,163,61
0,14,18,163,61
0,14,20,163,61
0,14,21,163,61
0,14,22,163,60
0,14,23,163,60
0,14,24,163,61
0,14,25,163,61
0,14,26,163,61
0,14,27,163,61
0,14,28,163,61
0,14,30,163,61
0,14,31,163,61
0,14,32,163,61
0,14,33,163,61
0,14,35,163,61
0,14,36,163,61
0,14,37,163,61
0,14,38,163,60
0,14,39,163,61
0,14,40,163,60
0,14,41,163,60
0,14,42,163,61
0,14,43,163,61
0,14,44,163,61
0,14,45,163,61
0,14,46,163,61
0,14,47,163,61
0,15,0,163,61
0,15,1,163,61
0,15,3,163,61
0,15,4,163,61
0,15,6,163,61
0,15,7,163,61
0,15,8,163,61
0,15,9,163,61
0,15,11,163,61
0,15,12,163,61
0,15,13,163,61
0,15,14,163,60
0,15,15,163,60
0,15,16,163,61
0,15,17,163,60
0,15,18,163,61
0,15,19,163,61
0,15,20,163,60
0,15,21,163,61
0,15,22,163,61
0,15,23,163,61
0,15,24,163,61
0,15,25,163,61
0,15,26,163,60
0,15,27,163,61
0,15,28,163,61
0,15,29,163,61
0,15,30,163,60
0,15,31,163,61
0,15,32,163,60
0,15,34,163,61
0,15,35,163,61
0,15,36,163,61
0,15,37,163,61
0,15,38,163,61
0,15,39,163,61
0,15,40,146,64
0,15,41,135,77
0,15,42,135,77
0,15,43,134,77
0,15,44,135,77
0,15,45,135,77
0,15,46,135,77
0,15,47,135,77
0,16,0,135,77
0,16,1,135,77
0,16,2,134,77
0,16,3,135,77
0,16,4,135,77
0,16,6,135,77
0,16,7,134,77
0,16,8,135,77
0,16,10,135,77
0,16,11,135,77
0,16,12,134,77
0,16,13,161,60
0,16,14,160,60
0,16,15,160,57
0,16,16,160,56
0,16,18,160,57
0,16,19,162,61
0,16,20,163,61
0,16,21,163,60
0,16,22,163,61
0,16,23,163,61
0,16,24,163,61
0,16,25,163,61
0,16,26,163,61
0,16,27,163,61
0,16,28,163,61
0,16,30,163,61
0,16,32,163,61
0,16,33,163,61
0,16,34,163,61
0,16,35,163,61
0,16,36,163,62
0,16,37,163,61
0,16,38,163,61
0,16,39,163,60
0,16,40,161,60
0,16,41,135,77
0,16,42,134,77
0,16,43,134,77
0,16,44,135,77
0,16,45,135,77
0,17,1,135,77
0,17,2,134,77
0,17,3,135,77
0,17,4,135,77
0,17,6,135,77
0,17,7,134,77
0,17,8,134,77
0,17,10,135,77
0,17,12,135,77
0,17,13,159,60
0,17,14,161,60
0,17,16,160,57
0,17,17,160,57
0,17,18,160,57
0,17,19,160,58
0,17,20,162,59
0,17,21,163,60
0,17,24,163,61
0,17,35,163,61
0,17,36,163,60
0,17,37,163,60
0,17,40,161,60
0,17,41,140,70
0,17,42,135,77
0,17,43,135,77
0,17,44,134,77
0,17,45,135,77
0,18,5,135,77
0,18,11,135,77
0,18,12,135,77
0,18,15,135,77
0,18,16,146,64
0,18,17,160,60
0,18,18,160,59
0,18,19,160,57
0,18,20,160,57
0,18,21,160,57
0,18,22,160,57
0,18,23,163,59
0,18,24,163,60
0,18,39,163,60
0,18,40,161,60
0,18,41,135,76
0,18,42,135,77
0,18,43,135,77
0,18,44,135,77
0,19,1,135,77
0,19,9,135,77
0,19,12,132,84
0,19,13,138,88
0,19,15,138,87
0,19,17,135,87
0,19,18,135,77
0,19,20,161,60
0,19,21,161,60
0,19,22,163,60
0,19,23,164,60
0,19,24,163,61
0,19,25,163,61
0,19,26,163,60
0,19,27,163,61
0,19,29,163,61
0,19,30,163,60
0,19,36,163,61
0,19,37,163,61
0,19,38,163,60
0,19,39,163,61
0,19,40,162,60
0,19,41,135,77
0,19,42,135,76
0,19,43,135,76
0,19,45,136,72
0,20,11,135,77
0,20,12,129,82
0,20,15,132,84
0,20,16,135,77
0,20,17,134,77
0,20,18,108,26
0,20,43,133,75
0,20,44,142,71
0,20,45,150,65
0,20,46,163,60
0,21,5,163,61
0,21,6,163,61
0,21,7,163,60
0,21,9,163,60
0,21,10,163,61
0,21,11,163,60
0,21,12,163,61
0,21,13,163,61
0,21,14,163,60
0,21,15,163,60
0,21,18,163,60
0,21,19,163,61
0,21,23,163,60
0,21,24,163,60
0,21,27,163,61
0,21,30,163,61
0,21,31,163,61
0,21,36,163,61
0,21,37,163,61
0,21,38,163,60
0,21,39,163,60
0,21,40,163,61
0,21,41,163,60
0,21,42,163,60
0,21,43,163,60
0,21,44,163,60
0,21,45,163,61
0,21,46,163,60
0,21,47,163,60
0,22,0,163,60
0,22,1,163,60
0,22,2,163,61
0,22,4,163,61
0,22,5,163,61
0,22,6,163,61
0,22,7,163,61
0,22,8,163,60
0,22,9,163,61
0,22,10,163,60
0,22,11,163,61
0,22,13,163,61
0,22,17,163,60
0,22,18,163,60
0,22,19,163,60
0,22,20,163,61
0,22,21,163,60
0,22,22,163,61
0,22,24,163,61
0,22,26,163,61
0,22,27,163,61
0,22,28,163,61
0,22,29,163,61
0,22,30,163,60
0,22,31,163,60
0,22,33,163,61
0,22,34,163,60
0,22,35,163,61
0,22,36,163,61
0,22,37,163,61
0,22,38,163,60
0,22,39,163,61
0,22,40,162,60
0,22,41,135,76
0,22,42,135,76
0,22,43,135,76
0,22,44,135,77
0,22,45,135,77
0,23,7,135,77
0,23,15,134,77
0,23,16,131,78
0,23,21,129,81
0,23,22,149,62
0,23,23,162,61
0,23,30,163,61
0,23,31,163,60
0,23,35,163,61
0,23,36,163,60
0,23,37,163,61
0,23,40,151,61
0,23,41,134,77
0,23,42,134,77
0,23,43,135,76
0,23,44,135,77
0,23,45,134,77
0,24,12,129,81
0,24,17,134,86
0,24,18,133,77
0,24,19,152,61
0,24,21,163,61
0,24,22,164,61
0,24,24,163,61
0,24,25,163,61
0,24,26,163,61
0,24,27,163,61
0,24,28,163,60
0,24,30,163,61
0,24,31,163,60
0,24,33,163,60
0,24,34,163,61
0,24,35,163,60
0,24,36,163,61
0,24,37,163,61
0,24,38,163,61
0,24,39,163,60
0,24,40,162,61
0,24,41,145,65
0,24,42,134,77
0,24,43,135,76
0,24,44,135,76
0,25,9,135,77
0,25,11,135,77
0,25,15,135,76
0,25,16,134,86
0,25,21,132,84
0,25,22,160,60
0,25,23,162,60
0,25,38,163,60
0,25,39,163,61
0,25,40,161,60
0,25,41,152,61
0,25,42,135,77
0,25,44,135,77
0,25,47,135,77
0,26,2,135,77
0,26,6,135,77
0,26,9,135,77
0,26,12,135,77
0,26,13,161,60
0,26,14,160,60
0,26,17,160,57
0,26,18,160,59
0,26,19,163,60
0,26,20,163,60
0,26,21,163,61
0,26,22,163,61
0,26,23,163,60
0,26,24,163,60
0,26,26,163,60
0,26,30,163,61
0,26,39,163,60
0,26,40,161,60
0,26,41,135,76
0,26,42,134,77
0,26,43,135,76
0,26,44,134,77
0,27,16,135,87
0,27,17,137,88
0,27,18,143,68
0,27,19,159,57
0,27,20,160,57
0,27,21,161,58
0,27,22,163,61
0,27,28,163,61
0,27,29,163,61
0,27,30,163,60
0,27,31,163,61
0,27,32,163,61
0,27,33,163,60
0,27,34,163,60
0,27,38,163,60
0,27,41,163,61
0,27,42,163,60
0,27,43,163,61
0,27,44,163,61
0,27,45,163,60
0,28,0,163,61
0,28,2,163,61
0,28,3,163,61
0,28,13,163,60
0,28,29,163,61
0,28,33,163,60
0,28,34,163,60
0,28,41,163,61
0,28,42,163,60
0,29,6,163,61
0,29,7,163,61
0,29,11,163,60
0,29,14,163,60
0,29,16,163,61
0,29,17,163,60
0,29,25,163,61
0,29,26,163,61
0,29,27,163,60
0,60,2,65,175
0,60,3,53,181
0,60,9,75,158
0,60,10,127,84
0,60,11,132,82
0,60,12,133,77
0,60,13,161,60
0,60,14,160,56
0,60,16,161,58
0,60,17,163,61
0,60,18,163,60
0,60,19,163,61
0,60,20,163,60
0,60,23,163,60
0,60,24,163,60
0,60,25,163,60
0,60,26,163,61
0,60,27,163,60
0,60,28,163,61
0,60,29,163,60
0,60,30,163,61
0,60,31,163,60
0,60,32,163,61
0,60,33,163,60
0,60,34,163,60
0,60,35,163,61
0,60,36,163,60
0,60,39,163,61
0,60,40,163,60
0,60,41,163,61
0,60,42,161,60
0,60,43,129,81
0,60,44,130,81
0,60,45,132,82
0,60,46,105,114
0,60,47,66,175
0,61,0,66,175
0,61,2,66,175
0,61,3,66,175
0,61,4,54,177
0,61,5,45,188
0,61,9,99,137
0,61,10,110,90
0,61,11,132,83
0,61,12,138,87
0,61,19,129,81
0,61,20,140,69
0,61,21,163,60
0,61,22,163,60
0,61,23,163,61
0,61,24,163,61
0,61,25,163,60
0,61,27,163,60
0,61,28,163,61
0,61,29,163,60
0,61,30,163,60
0,61,31,163,61
0,61,32,163,60
0,61,33,163,61
0,61,36,163,60
0,61,37,163,61
0,61,38,163,61
0,61,39,163,61
0,61,40,163,60
0,61,41,164,59
0,61,42,163,61
0,61,43,129,81
0,61,44,132,82
0,61,45,112,88
0,61,46,74,160
0,61,47,66,175
0,62,1,66,174
0,62,2,56,178
0,62,3,52,182
0,62,13,153,61
0,62,14,161,59
0,62,15,160,57
0,62,16,160,57
0,62,17,160,57
0,62,21,160,58
0,62,22,162,59
0,62,23,163,61
0,62,24,163,60
0,62,25,163,61
0,62,26,163,60
0,62,27,163,61
0,62,28,163,60
0,62,29,163,61
0,62,30,163,61
0,62,31,163,61
0,62,32,163,60
0,62,33,163,61
0,62,34,163,61
0,62,35,163,61
0,62,36,163,61
0,62,37,163,61
0,62,38,163,61
0,62,39,163,60
0,62,40,164,60
0,62,42,162,60
0,62,43,141,69
0,62,44,133,82
0,62,45,110,90
0,62,46,92,139
0,62,47,66,175
0,63,0,66,175
0,63,1,66,175
0,63,2,66,174
0,63,3,66,175
0,63,4,53,181
0,63,9,69,194
0,63,10,130,81
0,63,11,132,82
0,63,12,130,78
0,63,13,154,61
0,63,14,160,58
0,63,16,160,58
0,63,17,162,58
0,63,18,163,61
0,63,19,163,61
0,63,20,163,61
0,63,21,163,61
0,63,22,163,60
0,63,23,163,61
0,63,24,163,60
0,63,25,163,61
0,63,26,163,60
0,63,27,163,60
0,63,28,163,60
0,63,29,163,61
0,63,30,163,61
0,63,31,163,61
0,63,33,163,61
0,63,34,163,61
0,63,37,163,60
0,63,38,163,61
0,63,39,163,60
0,63,40,163,61
0,63,41,163,60
0,63,42,161,60
0,63,43,129,81
0,63,44,130,81
0,63,45,110,88
0,63,46,104,131
0,63,47,66,175
0,64,2,66,175
0,64,3,66,175
0,64,4,53,181
0,64,5,38,198
0,64,9,104,129
0,64,10,132,82
0,64,13,133,82
0,64,24,135,82
0,64,26,135,82
0,64,27,134,81
0,64,30,134,79
0,64,31,161,60
0,64,32,163,61
0,64,33,163,61
0,64,34,163,61
0,64,35,163,61
0,64,37,163,61
0,64,38,163,61
0,64,39,163,60
0,64,40,163,61
0,64,42,163,61
0,64,43,163,61
0,64,44,163,61
0,64,45,163,61
0,64,46,163,61
0,64,47,163,60
0,65,0,163,61
0,65,1,163,60
0,65,2,163,60
0,65,3,163,60
0,65,4,163,60
0,65,6,163,61
0,65,7,163,60
0,65,8,163,61
0,65,9,163,60
0,65,10,164,60
0,65,11,163,61
0,65,12,163,61
0,65,13,163,61
0,65,14,163,61
0,65,15,163,60
0,65,16,163,61
0,65,17,163,61
0,65,18,163,61
0,65,19,163,60
0,65,20,163,61
0,65,21,163,61
0,65,22,163,61
0,65,23,163,61
0,65,24,163,61
0,65,25,163,61
0,65,26,163,61
0,65,29,163,60
0,65,30,163,61
0,65,31,163,60
0,65,32,163,61
0,65,33,163,60
0,65,34,163,61
0,65,35,163,61
0,65,36,135,77
0,65,46,135,76
0,66,2,135,76
0,66,6,135,76
0,66,7,135,77
0,66,10,135,76
0,66,11,135,77
0,66,13,135,77
0,66,15,134,76
0,66,16,138,87
0,66,22,132,84
0,66,23,129,79
0,66,24,129,80
0,66,26,155,61
0,66,27,162,60
0,66,28,163,61
0,66,29,163,61
0,66,30,163,61
0,66,31,163,61
0,66,32,163,61
0,66,34,164,59
0,66,35,163,60
0,66,36,163,61
0,66,38,163,60
0,66,40,163,61
0,66,41,163,61
0,66,42,163,61
0,66,43,163,60
0,66,44,163,61
0,66,45,163,61
0,66,47,163,60
0,67,0,163,61
0,67,1,163,60
0,67,2,163,60
0,67,4,163,61
0,67,8,163,61
0,67,9,163,61
0,67,10,163,61
0,67,11,163,61
0,67,13,163,61
0,67,14,163,60
0,67,16,163,61
0,67,17,163,60
0,67,18,163,61
0,67,19,163,60
0,67,20,163,60
0,67,21,163,60
0,67,22,164,60
0,67,23,163,61
0,67,24,163,60
0,67,25,164,60
0,67,30,163,61
0,67,31,163,61
0,67,32,163,60
0,67,33,163,61
0,67,34,163,61
0,67,35,163,61
0,67,36,163,60
0,67,37,163,60
0,67,38,163,60
0,67,39,163,61
0,67,45,163,61
0,67,46,163,60
0,67,47,163,60
0,68,0,163,60
0,68,1,163,60
0,68,4,163,61
0,68,6,163,61
0,68,7,163,61
0,68,9,163,60
0,68,10,163,60
0,68,11,163,60
0,68,12,163,60
0,68,13,163,60
0,68,14,163,61
0,68,16,163,61
0,68,17,163,60
0,68,18,163,61
0,68,19,163,60
0,68,20,162,59
0,68,21,160,57
0,68,22,161,58
0,68,23,160,57
0,68,25,160,58
0,68,26,134,82
0,68,27,134,82
0,68,28,134,81
0,68,29,134,77
0,68,30,135,77
0,68,31,141,69
0,68,32,163,60
0,68,33,163,61
0,68,34,163,60
0,68,36,163,60
0,68,37,163,61
0,68,38,163,60
0,68,39,163,61
0,68,40,163,61
0,68,41,163,60
0,68,42,163,61
0,68,43,163,60
0,68,44,163,61
0,68,47,163,60
0,69,0,163,61
0,69,1,163,60
0,69,3,163,61
0,69,4,163,61
0,69,6,163,60
0,69,11,163,60
0,69,12,163,61
0,69,14,163,60
0,69,17,163,60
0,69,18,163,61
0,69,19,163,60
0,69,21,163,61
0,69,22,164,60
0,69,23,163,61
0,69,24,163,60
0,69,25,163,61
0,69,26,163,60
0,69,27,163,60
0,69,28,163,60
0,69,29,163,61
0,69,30,163,61
0,69,33,163,61
0,69,34,163,60
0,69,35,162,60
0,69,36,135,77
0,70,10,135,76
0,70,15,161,60
0,70,16,163,60
0,70,19,163,61
0,70,20,163,60
0,70,21,164,60
0,70,22,163,61
0,70,23,160,58
0,70,24,160,57
0,70,26,160,56
0,70,27,160,57
0,70,29,160,57
0,70,30,163,60
0,70,31,164,60
0,70,32,163,61
0,70,33,163,61
0,70,34,163,60
0,70,35,163,61
0,70,36,163,61
0,70,38,164,60
0,70,39,163,60
0,70,40,163,60
0,70,41,162,60
0,70,42,135,76
0,70,46,132,77
0,70,47,133,76
0,71,4,133,76
0,71,5,135,76
0,71,18,138,88
0,71,24,133,85
0,71,25,129,81
0,71,26,162,60
0,71,27,163,61
0,71,29,163,61
0,71,30,163,60
0,71,33,163,60
0,71,34,163,60
0,71,35,163,60
0,71,38,163,60
0,71,39,163,60
0,71,40,163,60
0,71,41,163,61
0,71,42,163,61
0,71,44,163,61
0,71,47,163,61
0,72,0,163,60
0,72,1,163,61
0,72,2,163,60
0,72,3,163,61
0,72,4,163,61
0,72,5,163,60
0,72,6,163,61
0,72,7,163,61
0,72,8,163,61
0,72,10,163,61
0,72,12,163,61
0,72,14,163,60
0,72,17,163,60
0,72,18,164,59
0,72,20,163,61
0,72,21,163,61
0,72,22,163,61
0,72,24,163,60
0,72,25,163,61
0,72,26,163,61
0,72,28,163,60
0,72,29,163,61
0,72,30,163,61
0,72,31,163,60
0,72,32,163,60
0,72,33,163,61
0,72,34,163,60
0,72,35,163,60
0,72,36,163,61
0,72,37,163,60
0,72,39,163,61
0,72,40,163,60
0,72,41,163,61
0,72,42,164,60
0,72,43,161,60
0,72,44,147,67
0,72,45,135,76
0,73,11,129,81
0,73,12,138,88
0,73,17,138,88
0,73,18,129,81
0,73,19,163,60
0,73,22,163,60
0,73,23,163,61
0,73,24,163,60
0,73,27,163,60
0,73,30,163,60
0,73,31,163,61
0,73,32,163,61
0,73,33,163,61
0,73,34,163,60
0,73,35,163,60
0,73,36,163,61
0,73,37,163,60
0,73,38,163,60
0,73,39,163,61
0,73,41,163,60
0,73,42,163,61
0,73,45,163,60
0,73,46,163,61
0,74,0,163,60
0,74,2,163,60
0,74,3,163,61
0,74,4,163,61
0,74,5,164,60
0,74,6,163,60
0,74,7,163,61
0,74,9,163,60
0,74,10,163,60
0,74,11,163,61
0,74,12,163,60
0,74,13,163,60
0,74,15,163,61
0,74,16,163,61
0,74,17,163,61
0,74,18,163,60
0,74,19,163,61
0,74,21,163,61
0,74,22,163,60
0,74,23,163,61
0,74,24,163,60
0,74,25,163,61
0,74,26,163,60
0,74,27,163,61
0,74,28,163,60
0,74,29,161,60
0,74,30,164,61
0,74,31,163,60
0,74,32,163,60
0,74,33,163,61
0,74,34,163,61
0,74,35,163,61
0,74,37,163,61
0,74,39,163,60
0,74,40,163,61
0,74,41,163,60
0,74,42,163,61
0,74,43,162,60
0,74,44,135,76
1,0,1,79,86
1,0,2,79,86
1,0,8,77,86
1,0,9,77,86
1,0,19,81,89
1,0,20,82,88
1,0,21,81,89
1,0,22,81,89
1,0,24,76,86
1,0,25,75,82
1,0,27,76,84
1,0,29,76,83
1,0,30,77,86
1,0,42,79,106
1,0,43,76,85
1,0,45,77,86
1,1,17,76,84
1,1,18,76,84
1,1,19,76,85
1,1,20,75,85
1,1,21,77,86
1,1,22,80,83
1,1,23,77,85
1,1,24,77,86
1,1,40,78,85
1,1,43,77,85
1,2,12,84,89
1,2,13,89,78
1,2,14,115,80
1,2,17,116,79
1,2,18,110,87
1,2,19,115,78
1,2,20,115,79
1,2,21,114,86
1,2,22,109,87
1,2,23,115,78
1,2,24,114,80
1,2,27,120,88
1,2,28,121,90
1,2,29,121,88
1,2,30,118,80
1,2,32,114,80
1,2,33,115,78
1,2,34,96,71
1,2,35,80,87
1,2,36,77,86
1,2,37,76,84
1,2,38,77,86
1,2,39,77,86
1,3,12,81,88
1,3,13,83,94
1,3,14,85,95
1,3,15,88,94
1,3,16,90,101
1,3,17,103,88
1,3,19,88,99
1,3,20,88,103
1,3,21,90,101
1,3,22,87,95
1,3,23,94,76
1,3,25,90,80
1,3,26,87,95
1,3,27,94,95
1,3,28,101,102
1,3,29,101,100
1,3,30,87,95
1,3,31,85,94
1,3,32,82,94
1,3,36,81,90
1,3,37,78,85
1,3,38,76,83
1,3,39,76,84
1,3,40,77,86
1,3,46,79,87
1,4,4,77,86
1,4,13,80,87
1,4,14,85,95
1,4,15,85,91
